Short_Name,Iteration_Count_o,Error_Final_o,Duration_o,Error_Initial_o,Duration_Log_o,Iteration_Count_m,Error_Final_m,Duration_m,Error_Initial_m,Duration_Log_m
instance_0000005084,22.0,1.7469941347483845e-17,1.0669848918914795,0.0055134513844024,0.0648368127924536,22.0,1.3534919363142488e-17,1.1360876560211182,0.001410248358355,0.1275904793125472
instance_0000005065,23.0,2.421561819927541e-17,1.1094982624053955,0.0093811653086793,0.1039078972832874,22.0,1.8299165688569082e-17,0.9835524559020996,0.0018571893287911,-0.0165843066301389
instance_0000005015,23.0,1.119289315347642e-17,1.1210577487945557,0.0035683972561887,0.1142726581909415,22.0,8.923599187463209e-18,0.9788932800292968,0.0009706435583896,-0.0213326515566861
instance_0000005080,23.0,1.139819914247456e-17,1.1269230842590332,0.0033613819340896,0.1194909845112618,22.0,1.0026646348147997e-17,0.9937238693237304,0.0006880266034993,-0.0062959083794609
instance_0000005051,22.0,1.817866483035502e-17,1.0815999507904053,0.0059976644499336,0.078441380809525,22.0,1.5387783208216512e-17,0.934725284576416,0.0011477585416287,-0.067502606152286
instance_0000005090,23.0,6.4189056917533924e-18,1.0995616912841797,0.0018207845758369,0.0949116379281331,22.0,5.8297799300373054e-18,1.0831239223480225,0.0006663181516505,0.0798493865402309
instance_0000005002,22.0,2.674820396676133e-17,1.0803771018981934,0.0101999589611936,0.0773101486152735,22.0,2.251649372434884e-17,0.9316189289093018,0.002247945577837,-0.0708314224693761
instance_0000005087,23.0,2.1656385867158497e-17,1.1036198139190674,0.0075832251920545,0.0985955170953189,22.0,1.6041657956347854e-17,0.9756147861480712,0.0014626884928501,-0.0246874568018895
instance_0000005012,23.0,1.6409990516849268e-17,1.1873760223388672,0.0054036039128289,0.1717458492354119,22.0,1.3268871321826284e-17,1.0300061702728271,0.0008734683849017,0.0295647927797439
instance_0000005055,22.0,2.4036730130055885e-17,1.1221888065338137,0.0088459578655376,0.1152810697116621,22.0,1.9228536684419644e-17,0.9388983249664308,0.0017950283855957,-0.0630480857575367
instance_0000005079,22.0,1.6337196015748728e-17,1.0443499088287354,0.0053108878491578,0.0433945950196547,21.0,1.2798437373929939e-17,1.0526094436645508,0.0010259393500774,0.0512722656477713
instance_0000005075,22.0,1.186350079640856e-17,1.093489646911621,0.003324420244911,0.0893740932449827,22.0,1.0457906917658754e-17,1.0036118030548096,0.0011229083579919,0.0036052961572046
